"학교종류명","설립구분","표준학교코드","학교명","영문학교명","관할조직명","도로명우편번호","도로명주소","도로명상세주소","전화번호","홈페이지주소","팩스번호","남녀공학구분명","고등학교구분명","산업체특별학급존재여부","고등학교일반실업구분명","특수목적고등학교계열명","입시전후기구분명","주야구분명","설립일자","개교기념일","시도교육청코드","시도교육청명","소재지명","적재일시"
"특수학교","공립","7011485","서울서진학교","Seoul Seojin","서울특별시교육청","07527","서울특별시 강서구 양천로55길 22","(가양동)","02-6981-9000","http://seojin.sen.sc.kr","02-6981-9099","남여공학","","N","","","전기","주간","20200301","20200420","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","공립","7011484","서울도솔학교","SeoulDosolSchool","서울특별시교육청","01301","서울특별시 도봉구 평화로15번길 9-26","(도봉동/ 서울도솔학교)","02-955-0523","http://dosol.sen.sc.kr","02-955-0525","남여공학","","N","","","전기","주간","20190901","20190901","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","공립","7011483","서울나래학교","Seoul Narae School","서울특별시교육청","06793","서울특별시 서초구 염곡안1길 25","(염곡동/ 서울나래학교)","02-2058-0190","http://snarae.sen.sc.kr","02-2058-0192","남여공학","","N","","","전기","주간","20190901","20190901","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","사립","7011468","서울새롬학교","Seoul Saerom School","서울특별시교육청","08709","서울특별시 관악구 보라매로 44","/ 서울새롬학교 (봉천동/ 삼육외래센터)","02-840-3535","http://saerom.sen.sc.kr","02-884-4832","남여공학","","N","해당없음","","전기","주간","19690728","19690728","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","사립","7011462","서울효정학교","Seoul Hyojeong","서울특별시교육청","01109","서울특별시 강북구 삼양로63길 33","(미아동)","02-981-2022","http://hyojeong.sen.sc.kr","02-981-2029","남여공학","","N","","","전기","주간","20170901","20170901","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","공립","7011309","서울다원학교","Seoul Dawon School","서울특별시교육청","02879","서울특별시 성북구 성북로31길 5-15","/ 서울다원학교 (성북동)","02-762-8049","http://dawon.sen.sc.kr","02-742-6279","남여공학","","N","","","전기","주간","20150901","20150901","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","사립","7011302","누리학교","Nuri Special School","서울특별시교육청","06954","서울특별시 동작구 상도로 53","/ 누리학교 (대방동)","02-824-3888","http://nuri.sen.sc.kr","02-813-8308","남여공학","","N","일반계","","전기","주간","19980429","19980516","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","사립","7010859","연세대학교재활학교","Yonsei University Rehabilitation School","서울특별시교육청","03722","서울특별시 서대문구 연세로 50","/ 연세대학교재활학교 (신촌동)","02-2123-8141","http://www.yonsei.sc.kr","02-2123-8144","남여공학","","N","해당없음","","전기","주간","19640228","19640228","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","사립","7010858","수도사랑의학교","Sudo Loveing School","서울특별시교육청","03028","서울특별시 종로구 사직로7길 17","/ 수도사랑의학교 (사직동)","02-739-9868","http://sudolove.sen.sc.kr","02-737-1217","남여공학","","N","해당없음","","전기","주간","19980126","19981017","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","사립","7010583","은평대영학교","Eunpyeong Daeyoung School","서울특별시교육청","03428","서울특별시 은평구 갈현로11길 30","/ 은평대영학교 (구산동/ 사회복지법인 엔젤스헤이븐)","02-357-1702","http://www.sep.sc.kr","02-389-0623","남여공학","","N","해당없음","","전기","주간","19810312","19810312","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","사립","7010582","서울동천학교","Seoul Dongchun School","서울특별시교육청","01747","서울특별시 노원구 노원로18길 41","/ 서울동천학교 (하계동)","02-974-9576","http://dongchun.sen.sc.kr","02-978-4287","남여공학","","N","해당없음","","전기","주간","19791212","19800521","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","사립","7010578","한빛맹학교","Hanbit Blind School","서울특별시교육청","01103","서울특별시 강북구 삼양로73가길 47","/ 한빛맹학교 (수유동)","02-987-2023","http://hanbit.sen.sc.kr","02-987-8351","남여공학","","N","해당없음","","전기","주간","19701205","19710306","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","사립","7010575","교남학교","Kyonam School","서울특별시교육청","07662","서울특별시 강서구 까치산로22길 38","/ 교남학교 (화곡동)","02-2607-2456","http://kyonam.sc.kr","02-2601-8746","남여공학","","N","해당없음","","전기","주간","19830125","19830321","B10","서울특별시교육청","서울특별시","20240310"
"특수학교","공립","7010561","서울경운학교","Seoul Gyeongun School","서울특별시교육청","03132","서울특별시 종로구 삼일대로 454","(경운동)","02-3668-5100","http://www.gyeongun.sc.kr","02-3668-5109","남여공학","","N","해당없음","","전기","주간","20020301","20020322","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","공립","7010533","서울정민학교","Seoul Jeongmin School","서울특별시교육청","01810","서울특별시 노원구 공릉로58길 24","(하계동/ 서울정민학교)","02-978-8405","http://jeongmin.sen.sc.kr","02-978-8408","남여공학","","N","해당없음","","전기","주간","20001125","20010928","B10","서울특별시교육청","서울특별시","20230627"
"특수학교","사립","7010523","광성하늘빛학교","Gwangsung Hanulbit School","서울특별시교육청","05511","서울특별시 송파구 올림픽로 625","/ 광성하늘빛학교 (풍납동/광성교회)","02-474-1004","www.hanulbit.sc.kr/","02-474-3434","남여공학","","N","해당없음","","전기","주간","19991108","20000520","B10","서울특별시교육청","서울특별시","20230627"
