동,인구 (명),면적 (㎢),인구밀도 (명/㎢),교육지원청
종로구,150453,23.91,6292,중부교육지원청
중구,131793,9.96,13232,중부교육지원청
용산구,227106,21.87,10386,중부교육지원청
성동구,284766,16.82,16930,성동광진교육지원청
광진구,351180,17.06,20582,성동광진교육지원청
동대문구,359873,14.22,25315,동부교육지원청
중랑구,387470,18.5,20948,동부교육지원청
성북구,438168,24.58,17828,성북강북교육지원청
강북구,292977,23.6,12414,성북강북교육지원청
도봉구,309494,20.65,14987,북부교육지원청
노원구,502925,35.44,14191,북부교육지원청
은평구,470869,29.71,15849,서부교육지원청
서대문구,320629,17.63,18190,서부교육지원청
마포구,375162,23.85,15727,서부교육지원청
양천구,439252,17.41,25236,강서양천교육지원청
강서구,568826,41.45,13723,강서양천교육지원청
구로구,415651,20.12,20656,남부교육지원청
금천구,241105,13.02,18517,남부교육지원청
영등포구,397800,24.55,16203,남부교육지원청
동작구,389714,16.36,23826,동작관악교육지원청
관악구,497883,29.57,16838,동작관악교육지원청
서초구,412078,46.97,8774,강남서초교육지원청
강남구,550282,39.5,13932,강남서초교육지원청
송파구,660025,33.88,19483,강동송파교육지원청
강동구,463318,24.59,18841,강동송파교육지원청
