학교명,도로명상세주소
선화예술중학교,"/ 선화예술중고등학교 (능동)"
서울숭신초등학교,(하왕십리동)
행당중학교,(행당동/행당중학교)
한양대학교사범대학부속중학교,(사근동/한양사대부속중?고등학교)
자양중학교,(자양동/서울자양중학교)
용곡중학교,(중곡동/용곡중학교)
옥정중학교,"/ 옥정중학교 (옥수동)"
양진중학교,"/ 양진중학교"
신양중학교,"/ 신양중학교 (자양동)"
성원중학교,"(성수동2가/ 성원중학교)"
성수중학교,"(성수동1가/ 성수중학교)"
무학중학교,(행당동)
마장중학교,"/ 마장중학교 (마장동)"
대원국제중학교,"/ 대원국제중학교 (중곡동)"
동마중학교,(마장동)
동국대학교사범대학부속여자중학교,"/ 동국대학교사범대학부속여자중학교 (구의동)"
구의중학교,(화양동)
광희중학교,"/ 광희중학교 (응봉동)"
광진중학교,(자양동/광진중학교)
광장중학교,"/ 광장중학교 (광장동)"
광양중학교,(자양동)
광남중학교,"/ 광남중학교 (광장동)"
경일중학교,(성수동1가)
경수중학교,(성수동2가)
건국대학교사범대학부속중학교,건국대학교사범대학부속중학교
한양초등학교,"/ 한양초등학교 (사근동)"
세종초등학교,"/ 세종초등학교 (군자동)"
성동초등학교,(자양동)
서울행현초등학교,(행당동)
서울행당초등학교,"/ 서울행당초등학교 (행당동)"
서울중마초등학교,(중곡동)
서울중광초등학교,(중곡동/중광초등학교)
서울장안초등학교,(군자동)
서울자양초등학교,(자양동)
서울응봉초등학교,"(응봉동/ 응봉초등학교)"
서울용마초등학교,(중곡동)
서울용답초등학교,"/ 서울용답초등학교"
서울용곡초등학교,"/ 서울용곡초등학교 (중곡동)"
서울옥정초등학교,(옥수동/옥정초등학교)
서울옥수초등학교,"/ 옥수초등학교 (금호동4가)"
서울양진초등학교,(광장동/양진초중학교)
서울양남초등학교,"/ (자양동/ 서울양남초등학교)"
서울신자초등학교,"/ 서울신자초등학교 (자양동)"
서울신양초등학교,"/ 신양초등학교 (자양동)"
서울송원초등학교,(송정동)
서울성자초등학교,"/ 서울성자초등학교 (자양동)"
서울성수초등학교,(성수동2가)
서울사근초등학교,"(사근동/ 사근초등학교)"
서울무학초등학교,"/ 서울무학초등학교 (하왕십리동)"
서울마장초등학교,"/ 서울마장초등학교 (마장동)"
서울동호초등학교,"(옥수동/ 동호초등학교)"
서울동자초등학교,(자양동)
서울동의초등학교,(구의동/서울동의초등학교)
서울동명초등학교,"/ 서울동명초등학교 (마장동)"
서울금호초등학교,"/ 서울금호초등학교 (금호동2가)"
서울금옥초등학교,"(금호동4가/ 서울금옥초등학교)"
서울금북초등학교,"/ 서울금북초등학교 (금호동1가)"
서울구의초등학교,"/ 서울구의초등학교 (화양동)"
서울구남초등학교,"/ 서울구남초등학교 (구의동)"
서울광진초등학교,"/ 서울광진초등학교 (구의동)"
서울광장초등학교,"/ 서울광장초등학교 (광장동)"
서울광남초등학교,(광장동)
서울경일초등학교,(성수동1가)
서울경수초등학교,(성수동2가/경수초등학교)
서울경동초등학교,(성수동1가/경동초등학교)
경복초등학교,"/ 경복초등학교 (능동)"
중앙대학교사범대학부속중학교,"/ 중앙대학교사범대학부속중학교 (흑석동)"
장승중학교,"/ 장승중학교 (상도동)"
인헌중학교,"/ 인헌중학교 (봉천동)"
영등포중학교,"/ 영등포중학교 (대방동)"
신림중학교,(신림동/신림중학교)
신관중학교,"/ (신림동 신관중학교)"
숭의여자중학교,(대방동)
성보중학교,"성보중학교 (신림동)"
성남중학교,(대방동)
서울문영여자중학교,(봉천동)
상현중학교,(상도동)
상도중학교,"/ 상도중학교 (사당동)"
삼성중학교,(신림동/삼성중학교)
사당중학교,"/ 사당중학교 (사당동)"
봉원중학교,"/ 봉원중학교 (봉천동/봉원중학교)"
봉림중학교,(봉천동)
미성중학교,(신림동)
문창중학교,(신대방동)
동작중학교,(동작동)
동양중학교,"/ 동양중학교 (흑석동)"
대방중학교,"(신대방동/ 대방중학교)"
당곡중학교,"/ 당곡중학교 (봉천동)"
남성중학교,(사당동/남성중학교)
남서울중학교,"/ 남서울중학교 (신림동)"
남강중학교,(신림동/남강중고등학교)
난우중학교,"/ 난우중학교 (신림동)"
국사봉중학교,"/ 국사봉중학교 (상도동)"
구암중학교,(봉천동)
광신중학교,"/ 광신중학교 (신림동)"
관악중학교,"/ 관악중학교 (봉천동)"
강현중학교,"/ 강현중학교 (상도동)"
강남중학교,"(대방동/ 강남중학교)"
중앙대학교사범대학부속초등학교,"(흑석동/ 중앙대부속초등학교)"
서울흑석초등학교,"/ 서울흑석초등학교 (흑석동)"
서울행림초등학교,(사당동/행림초등학교)
서울청룡초등학교,(봉천동)
서울조원초등학교,(신림동)
서울인헌초등학교,(봉천동)
서울은천초등학교,(봉천동)
서울은로초등학교,"/ 서울은로초등학교 (흑석동)"
서울원신초등학교,"/ 원신초등학교 (신림동)"
서울원당초등학교,(봉천동)
서울영화초등학교,"/ 서울영화초등학교 (대방동)"
서울영본초등학교,"/ 서울영본초등학교 (본동)"
서울신우초등학교,"/ 신우초등학교 (신림동)"
서울신성초등학교,"/ 서울신성초등학교 (신림동)"
서울신상도초등학교,(상도동/서울신상도초등학교)
서울신봉초등학교,(봉천동)
서울신림초등학교,"/ 서울신림초등학교 (신림동)"
서울신남성초등학교,(사당동)
서울신길초등학교,(대방동)
서울상현초등학교,(상도동)
서울상도초등학교,(상도동/상도초등학교)
서울삼일초등학교,"/ 서울삼일초등학교 (사당동)"
서울삼성초등학교,"/ 삼성초등학교 (신림동)"
서울사당초등학교,"/ 서울사당초등학교 (남현동)"
서울봉현초등학교,(봉천동/서울봉현초등학교)
서울봉천초등학교,"/ 서울봉천초등학교 (봉천동/봉천초등학교)"
서울본동초등학교,"/ 서울본동초등학교 (본동)"
서울보라매초등학교,"/ 서울보라매초등학교 (신대방동)"
서울미성초등학교,"/ 서울미성초등학교 (신림동)"
서울문창초등학교,(신대방동/서울문창초등학교)
서울동작초등학교,"/ 서울동작초등학교 (사당동)"
서울대림초등학교,(대방동)
서울당곡초등학교,"/ 23 (봉천동/당곡초등학교)"
서울노량진초등학교,(노량진동)
서울남성초등학교,"(사당동/ 서울남성초등학교)"
서울남사초등학교,(사당동)
서울남부초등학교,"/ 서울남부초등학교 (신림동)"
서울난향초등학교,(신림동/난향초등학교)
서울난우초등학교,(신림동/난우초등학교)
서울난곡초등학교,"(신림동/ 난곡초등학교)"
서울구암초등학교,"/ 서울구암초등학교 (봉천동)"
서울관악초등학교,"/ 관악초등학교 (봉천동/관악초등학교)"
서울강남초등학교,(상도1동)
상일중학교,"(상일동/ 상일여자중학교)"
위례솔중학교,"/ 위례솔중학교 (거여동)"
서울위례솔초등학교,"/ 12"
강빛중학교,"(강일동/ 강빛초중통합학교)"
서울강빛초등학교,"(강일동, 강빛초중통합학교)"
서울고현초등학교,"/ 서울고현초등학교"
해누리중학교,"/ 해누리중학교 (가락동)"
서울해누리초등학교,(가락동)
서울강솔초등학교,"/ 서울강솔초등학교 (강일동)"
서울위례별초등학교,"/ 서울위례별초등학교 (장지동)"
한영중학교,"/ 한영중학교 (상일동)"
한산중학교,(둔촌동)
