교육지원청,"정보공시 학교코드",학교명,지역,학급수(계),학생수(계),"특수학급 학급수","특수학급 학생수",학교급코드,학교구분,공시연도
교육부,S000003561,서울대학교사범대학부설고등학교,성북구,27,711,3,22,4,고,2023
서울특별시교육청,S010000373,개포고등학교,강남구,30,693,3,9,4,고,2023
서울특별시교육청,S010000375,경기고등학교,강남구,44,1063,3,16,4,고,2023
서울특별시교육청,S010000376,경기여자고등학교,강남구,42,1094,3,12,4,고,2023
서울특별시교육청,S010000377,경동고등학교,성북구,25,542,3,13,4,고,2023
서울특별시교육청,S010000379,경복고등학교,종로구,33,589,3,18,4,고,2023
서울특별시교육청,S010000383,경인고등학교,구로구,42,1095,3,16,4,고,2023
서울특별시교육청,S010000386,계성고등학교,성북구,33,832,3,17,4,고,2023
서울특별시교육청,S010000388,고척고등학교,구로구,30,753,3,14,4,고,2023
서울특별시교육청,S010000389,공항고등학교,강서구,27,645,3,16,4,고,2023
서울특별시교육청,S010000390,관악고등학교,영등포구,30,741,3,9,4,고,2023
서울특별시교육청,S010000395,광양고등학교,광진구,24,494,3,10,4,고,2023
서울특별시교육청,S010000401,금옥여자고등학교,양천구,30,736,3,14,4,고,2023
서울특별시교육청,S010000402,금천고등학교,금천구,30,688,3,18,4,고,2023
서울특별시교육청,S010000404,노원고등학교,노원구,27,568,3,14,4,고,2023
서울특별시교육청,S010000410,대영고등학교,영등포구,30,755,3,16,4,고,2023
서울특별시교육청,S010000419,독산고등학교,금천구,27,596,3,20,4,고,2023
서울특별시교육청,S010000422,동명여자고등학교,은평구,38,857,3,12,4,고,2023
서울특별시교육청,S010000427,동작고등학교,동작구,30,714,3,16,4,고,2023
서울특별시교육청,S010000428,둔촌고등학교,강동구,30,669,3,21,4,고,2023
서울특별시교육청,S010000430,면목고등학교,중랑구,27,614,3,10,4,고,2023
서울특별시교육청,S010000434,명일여자고등학교,강동구,29,582,3,13,4,고,2023
서울특별시교육청,S010000435,명지고등학교,서대문구,48,1315,3,19,4,고,2023
서울특별시교육청,S010000436,무학여자고등학교,성동구,29,521,3,8,4,고,2023
