지역,총학급수,총학생수,총특수학급수,총특수학생수,특수학생비율
성북구,113,2786,10,55,1.974
강남구,205,4788,14,49,1.023
종로구,33,589,3,18,3.056
구로구,99,2421,9,44,1.817
강서구,130,2730,13,43,1.575
영등포구,193,4456,19,78,1.75
광진구,59,1374,6,25,1.82
양천구,120,2701,12,63,2.332
금천구,93,2138,9,52,2.432
노원구,251,4851,22,102,2.103
은평구,164,3850,15,70,1.818
동작구,140,2903,12,54,1.86
강동구,153,3597,14,81,2.252
중랑구,138,3186,15,63,1.977
서대문구,75,1977,6,39,1.973
성동구,119,2232,13,33,1.478
서초구,141,3399,12,60,1.765
관악구,64,1398,9,55,3.934
마포구,65,1654,6,34,2.056
중구,24,445,3,15,3.371
용산구,84,1598,9,30,1.877
강북구,154,3750,14,54,1.44
송파구,223,4612,20,72,1.561
도봉구,102,1998,10,62,3.103
동대문구,81,1917,9,46,2.4
