교육지원청,"정보공시 학교코드",학교명,지역,학급수(계),학생수(계),"특수학급 학급수","특수학급 학생수",학교급코드,학교구분,공시연도
교육부,S000003514,서울대학교사범대학부설중학교,성북구,25,559,1,6,3,중,2023
교육부,S000003562,서울대학교사범대학부설여자중학교,종로구,19,335,1,7,3,중,2023
서울특별시강남서초교육지원청,S010000698,개원중학교,강남구,30,896,3,19,3,중,2023
서울특별시강남서초교육지원청,S010000700,경원중학교,서초구,35,1056,1,6,3,중,2023
서울특별시강남서초교육지원청,S010000701,구룡중학교,강남구,29,784,1,6,3,중,2023
서울특별시강남서초교육지원청,S010000706,대왕중학교,강남구,28,892,1,6,3,중,2023
서울특별시강남서초교육지원청,S010000709,도곡중학교,강남구,24,709,1,7,3,중,2023
서울특별시강남서초교육지원청,S010000712,방배중학교,서초구,23,549,1,6,3,중,2023
서울특별시강남서초교육지원청,S010000716,서일중학교,서초구,34,1059,1,6,3,중,2023
서울특별시강남서초교육지원청,S010000717,서초중학교,서초구,27,696,1,7,3,중,2023
서울특별시강남서초교육지원청,S010000719,수서중학교,강남구,25,507,2,11,3,중,2023
서울특별시강남서초교육지원청,S010000723,신반포중학교,서초구,30,820,1,4,3,중,2023
서울특별시강남서초교육지원청,S010000724,신사중학교,강남구,16,366,1,7,3,중,2023
서울특별시강남서초교육지원청,S010000725,언남중학교,서초구,17,364,1,6,3,중,2023
서울특별시강남서초교육지원청,S010000726,언북중학교,강남구,15,321,1,7,3,중,2023
서울특별시강남서초교육지원청,S010000728,역삼중학교,강남구,36,1175,1,6,3,중,2023
서울특별시강남서초교육지원청,S010000729,영동중학교,서초구,34,1003,1,6,3,중,2023
서울특별시강남서초교육지원청,S010000730,원촌중학교,서초구,40,1175,1,4,3,중,2023
서울특별시강동송파교육지원청,S010000856,가락중학교,송파구,20,473,1,3,3,중,2023
서울특별시강동송파교육지원청,S010000857,가원중학교,송파구,19,425,1,2,3,중,2023
서울특별시강동송파교육지원청,S010000858,강일중학교,강동구,23,636,1,3,3,중,2023
서울특별시강동송파교육지원청,S010000860,고덕중학교,강동구,49,1389,1,5,3,중,2023
서울특별시강동송파교육지원청,S010000863,둔촌중학교,강동구,13,252,1,4,3,중,2023
서울특별시강동송파교육지원청,S010000864,명일중학교,강동구,38,982,2,9,3,중,2023
