지역,총학급수,총학생수,총특수학급수,총특수학생수,특수학생비율
성북구,183,4311,13,70,1.624
종로구,37,704,2,11,1.562
강남구,240,6704,13,83,1.238
서초구,258,7113,9,52,0.731
송파구,357,8902,19,105,1.18
강동구,316,7630,18,89,1.166
양천구,353,8880,17,86,0.968
강서구,190,4316,11,53,1.228
금천구,132,2715,12,60,2.21
구로구,309,7100,18,58,0.817
영등포구,210,4715,14,70,1.485
동대문구,152,3423,15,53,1.548
중랑구,205,4570,17,72,1.575
동작구,186,4125,13,68,1.648
관악구,209,4719,16,81,1.716
노원구,385,8488,24,100,1.178
도봉구,126,2669,10,45,1.686
은평구,237,5504,15,101,1.835
서대문구,102,2269,9,39,1.719
마포구,211,4992,13,62,1.242
성동구,103,2131,9,44,2.065
광진구,96,2233,7,36,1.612
강북구,146,3159,13,51,1.614
중구,36,540,5,14,2.593
용산구,90,1913,9,38,1.986
