지역,총학급수,총학생수,총특수학급수,총특수학생수,특수학생비율
서초구,927,23012,46,234,1.017
종로구,292,5228,18,83,1.588
강남구,1260,29908,70,308,1.03
송파구,1646,36465,89,426,1.168
강동구,1394,31576,69,330,1.045
강서구,1323,27870,75,349,1.252
양천구,1207,27244,66,338,1.241
구로구,1075,22950,69,288,1.255
금천구,582,11461,52,234,2.042
영등포구,915,19538,64,271,1.387
동대문구,727,15483,55,245,1.582
중랑구,974,20468,73,321,1.568
동작구,924,19400,55,262,1.351
관악구,860,17486,66,339,1.939
노원구,1316,26317,90,396,1.505
도봉구,653,12817,47,236,1.841
은평구,1175,25110,81,412,1.641
서대문구,676,14851,41,204,1.374
마포구,836,18161,51,215,1.184
성동구,695,13115,54,223,1.7
광진구,501,10223,35,179,1.751
성북구,1069,23228,64,299,1.287
강북구,644,13725,49,213,1.552
용산구,494,9298,39,150,1.613
중구,220,3894,20,71,1.823
